,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
996,B000002393,서울동신초등학교,초등학교,서울특별시 성북구 보문동3가 228,서울특별시 성북구 보문사길 50,37.58328787,127.017058
997,B000002269,서울서일초등학교,초등학교,서울특별시 서초구 서초동 1436-8,서울특별시 서초구 남부순환로339길 38,37.48529778,127.0221598
998,B000002229,서울발산초등학교,초등학교,서울특별시 강서구 내발산동 408,서울특별시 강서구 강서로45길 113,37.55026244,126.8309944
1000,B000002210,서울신목초등학교,초등학교,서울특별시 양천구 신정동 281-2,서울특별시 양천구 신목로5길 11-6,37.51661098,126.8726408
1003,B000001881,서울은빛초등학교,초등학교,서울특별시 은평구 진관동 41-25,서울특별시 은평구 진관3로 73-17,37.64266166,126.9190801
1005,B000002080,화랑초등학교,초등학교,서울특별시 노원구 공릉동 27-22,서울특별시 노원구 화랑로 621,37.62878266,127.0889915
1007,B000001919,서울북가좌초등학교,초등학교,서울특별시 서대문구 북가좌동 376-17,서울특별시 서대문구 거북골로19길 20,37.57722021,126.9077782
1011,B000002366,한양초등학교,초등학교,서울특별시 성동구 사근동 110,서울특별시 성동구 살곶이길 208,37.55762103,127.0502634
1014,B000002056,서울계상초등학교,초등학교,서울특별시 노원구 상계동 447-1,서울특별시 노원구 한글비석로41가길 24,37.66219777,127.0686777
1015,B000002250,서울수명초등학교,초등학교,서울특별시 강서구 내발산동 752,서울특별시 강서구 수명로1길 84,37.55277267,126.8238445
1016,B000001960,서울매봉초등학교,초등학교,서울특별시 구로구 개봉동 3,서울특별시 구로구 고척로21길 55,37.50491523,126.8443653
1017,B000002249,서울등원초등학교,초등학교,서울특별시 강서구 등촌동 704-1,서울특별시 강서구 화곡로65길 90,37.55981354,126.850069
1022,B000002357,서울사근초등학교,초등학교,서울특별시 성동구 사근동 291-5,서울특별시 성동구 사근동11길 16,37.562685,127.047545
1023,B000002420,서울삼양초등학교,초등학교,서울특별시 강북구 미아동 791-1932,서울특별시 강북구 삼양로49길 17,37.62329558,127.0161491
1025,B000002244,서울월정초등학교,초등학교,서울특별시 강서구 화곡동 374-1,서울특별시 강서구 월정로 176,37.53499419,126.8362936
1029,B000001956,서울고산초등학교,초등학교,서울특별시 구로구 고척동 76-10,서울특별시 구로구 중앙로 6,37.49897255,126.8647727
1032,B000002429,서울우이초등학교,초등학교,서울특별시 강북구 수유동 409-6,서울특별시 강북구 삼양로99길 36,37.63865468,127.0148822
1037,B000002137,서울신가초등학교,초등학교,서울특별시 송파구 가락동 43-1,서울특별시 송파구 송이로 75,37.5003628,127.1198778
1038,B000001938,서울서교초등학교,초등학교,서울특별시 마포구 서교동 341,서울특별시 마포구 와우산로23길 20-27,37.55488903,126.9243787
1039,B000002191,서울계남초등학교,초등학교,서울특별시 양천구 신정동 325-7,서울특별시 양천구 목동동로2길 54,37.51016776,126.8600159
1040,B000002187,서울목원초등학교,초등학교,서울특별시 양천구 목동 191-1,서울특별시 양천구 목동중앙로 204,37.54291947,126.8824459
1041,B000002164,서울강일초등학교,초등학교,서울특별시 강동구 강일동 685,서울특별시 강동구 아리수로98길 24,37.56525568,127.1772858
1042,B000002401,서울개운초등학교,초등학교,서울특별시 성북구 돈암동 2-8,서울특별시 성북구 정릉로48길 52,37.60183902,127.0275962
1045,B000002122,신광초등학교,초등학교,서울특별시 용산구 청파동3가 100,서울특별시 용산구 청파로 263,37.54289988,126.9694475
1047,B000002384,서울화양초등학교,초등학교,서울특별시 광진구 화양동 12-2,서울특별시 광진구 군자로 9,37.54422859,127.0715827
1048,B000002392,서울안암초등학교,초등학교,서울특별시 성북구 안암동2가 93,서울특별시 성북구 고려대로7가길 39,37.5871587,127.0220989
1049,B000001935,서울망원초등학교,초등학교,서울특별시 마포구 망원동 467-1,서울특별시 마포구 방울내로5길 28,37.56088948,126.9007631
1050,B000002362,서울용답초등학교,초등학교,서울특별시 성동구 용답동 29,서울특별시 성동구 용답25길 1,37.56073011,127.0537608
1051,B000001941,서울중동초등학교,초등학교,서울특별시 마포구 성산동 94-1,서울특별시 마포구 월드컵북로 152,37.56641061,126.9117752
1053,B000002385,서울구의초등학교,초등학교,서울특별시 광진구 화양동 303-9,서울특별시 광진구 광나루로30길 49,37.54300899,127.0803118
1058,B000025891,서울언남초등학교,초등학교,서울특별시 서초구 내곡동 121,서울특별시 서초구 헌릉로8길 42,37.45411333,127.0614475
1059,B000024506,서울우솔초등학교,초등학교,서울특별시 서초구 우면동 774,서울특별시 서초구 양재대로2길 74,37.45709258,127.0192756
1060,B000002418,서울번동초등학교,초등학교,서울특별시 강북구 번동 236,서울특별시 강북구 오현로 204,37.62900012,127.0400394
1061,B000002092,서울창신초등학교,초등학교,서울특별시 종로구 창신동 128-32,서울특별시 종로구 지봉로 73,37.57621147,127.0142837
1063,B000001974,서울오정초등학교,초등학교,서울특별시 구로구 오류동 108-28,서울특별시 구로구 경인로2길 10,37.49016566,126.8264392
1064,B000001921,서울창서초등학교,초등학교,서울특별시 서대문구 창천동 53-38,서울특별시 서대문구 연세로5나길 30-3,37.55814305,126.9334809
1067,B000002218,서울신정초등학교,초등학교,서울특별시 강서구 화곡동 869-42,서울특별시 강서구 곰달래로31가길 27,37.53207171,126.8523579
1074,B000002185,서울신암초등학교,초등학교,서울특별시 강동구 암사동 517,서울특별시 강동구 올림픽로93길 33-16,37.55002367,127.1244044
1076,B000002178,서울성일초등학교,초등학교,서울특별시 강동구 성내동 531,서울특별시 강동구 성내로15길 33,37.52970924,127.1284083
1077,B000002325,서울원신초등학교,초등학교,서울특별시 관악구 신림동 336,서울특별시 관악구 광신길 177,37.46719824,126.9272409
1079,B000002195,서울신기초등학교,초등학교,서울특별시 양천구 신정동 1274,서울특별시 양천구 신정로 292,37.5113683,126.854213
1080,B000002307,서울노량진초등학교,초등학교,서울특별시 동작구 노량진동 237,서울특별시 동작구 장승배기로 160,37.51175038,126.9408242
1082,B000002225,서울치현초등학교,초등학교,서울특별시 강서구 방화동 833,서울특별시 강서구 방화대로47길 43,37.57591915,126.8146456
1084,B000001892,서울대조초등학교,초등학교,서울특별시 은평구 대조동 212-1,서울특별시 은평구 연서로18길 17,37.61357914,126.9193022
1089,B000002155,서울토성초등학교,초등학교,서울특별시 송파구 풍납동 251,서울특별시 송파구 풍성로20길 44,37.53188286,127.1156331
1090,B000002161,서울선린초등학교,초등학교,서울특별시 강동구 둔촌동 91-17,서울특별시 강동구 진황도로61길 29,37.52976012,127.145594
1092,B000002177,서울강명초등학교,초등학교,서울특별시 강동구 상일동 480,서울특별시 강동구 상일로 74-1,37.55470604,127.1733624
1094,B000002414,우촌초등학교,초등학교,서울특별시 성북구 돈암동 609,서울특별시 성북구 성북로4길 52-1,37.59560791,127.0114325
1102,B000002329,서울조원초등학교,초등학교,서울특별시 관악구 신림동 548-2,서울특별시 관악구 조원로 67,37.48417783,126.909581
1104,B000002331,서울삼성초등학교,초등학교,서울특별시 관악구 신림동 233-1,서울특별시 관악구 대학7길 52,37.46852204,126.9404929
1105,B000002064,서울수락초등학교,초등학교,서울특별시 노원구 상계동 1171-2,서울특별시 노원구 동일로 1745,37.68450319,127.0551852
1106,B000002431,영훈초등학교,초등학교,서울특별시 강북구 미아동 471-2,서울특별시 강북구 도봉로13가길 19,37.61468187,127.0280933
1109,B000002086,서울교동초등학교,초등학교,서울특별시 종로구 경운동 2,서울특별시 종로구 삼일대로 446,37.57500567,126.9881513
1110,B000002397,서울장월초등학교,초등학교,서울특별시 성북구 장위동 316,서울특별시 성북구 한천로101길 66,37.62194109,127.0471628
1112,B000001888,서울구산초등학교,초등학교,서울특별시 은평구 구산동 152-3,서울특별시 은평구 서오릉로15길 16,37.61275096,126.9093765
