,주소,위도,경도,어린이집 평균거리
234,서울특별시 은평구 백련산로 37,37.58942882,126.9221197,58.68979398780849
235,서울특별시 은평구 백련산로 36,37.5879981,126.9240993,49.591566952535395
236,서울특별시 은평구 백련산로 160,37.5989096,126.9266602,69.41014264303394
237,서울특별시 은평구 백련산로 146,37.597442,126.9261538,68.34377020729177
238,서울특별시 은평구 백련산로 127,37.5969983,126.923497,76.90454414052867
239,서울특별시 은평구 갈현로3다길 15,37.6023882,126.9053464,48.48589790262928
240,서울특별시 은평구 갈현로3나길 23,37.6031215,126.9060015,51.42090813997175
241,서울특별시 은평구 갈현로33길 24,37.6221584,126.9142876,54.63625225309003
242,서울특별시 은평구 갈현로29길 62,37.6232165,126.9109852,41.22566564526556
243,서울특별시 은평구 갈현로29길 11,37.6189819,126.913541,61.6339264413887
244,서울특별시 은평구 갈현로23길 41,37.6181006,126.9100162,51.315031261371985
245,서울특별시 은평구 갈현로1길 36,37.5999489,126.9057246,52.03314179962982
246,서울특별시 은평구 갈현로1길 31,37.599227,126.9068354,60.38749748483188
247,서울특별시 은평구 갈현로17길 17,37.6115205,126.9092409,54.92127681756876
248,서울특별시 은평구 갈현로15길 53,37.6103948,126.9059489,40.89681919667684
249,서울특별시 은평구 갈현로11길 46,37.6055438,126.9054804,45.56366645986286
250,서울특별시 은평구 가좌로7나길 35,37.5833193,126.9203156,70.79828952070584
251,서울특별시 은평구 가좌로7나길 30,37.5840189,126.9175836,76.30416713018923
252,서울특별시 은평구 가좌로 391,37.6004103,126.9041738,44.38012720069439
253,서울특별시 은평구 가좌로 344,37.5979944,126.9069618,61.86557273358574
254,서울특별시 은평구 가좌로 334,37.59835762,126.9092382,74.92342847460705
255,서울특별시 용산구 후암로 71-1,37.55185,126.9757889,42.48725731326814
256,서울특별시 용산구 효창원로15길 16,37.5370379,126.9541123,71.41946720710224
257,서울특별시 용산구 효창원로13길 7,37.5353,126.9513,55.807580009674595
258,서울특별시 용산구 효창원로 88,37.5362695,126.9591984,66.57445108796595
259,서울특별시 용산구 효창원로 17,37.5348358,126.9497669,50.71348803477344
260,서울특별시 용산구 한남대로 60,37.5345031,127.0079791,18.718677536120506
261,서울특별시 용산구 한강대로43길 8,37.5321985,126.9697692,24.61148117822168
