,주소,위도,경도,우체국 평균거리
273,서울특별시 용산구 이촌로81길 14,37.519529600000006,126.97955890000001,5.675343571236385
274,서울특별시 용산구 이촌로64길 15,37.5199669,126.9711068,2.2255857595344892
275,서울특별시 용산구 이촌로34길 29,37.52332979999999,126.9575779,3.8400114276643538
276,서울특별시 용산구 이촌로2가길 66,37.527311299999994,126.9537952,4.371762928673625
277,서울특별시 용산구 이촌로2가길 122,37.5256238,126.9543702,4.06468052736544
278,서울특별시 용산구 이촌로29길 21-7,37.52562083,126.9598495,4.910744645440974
279,서울특별시 용산구 이촌로 347,37.5180956,126.98740409999999,5.170271766271736
280,서울특별시 용산구 이촌로 324-10,37.5170003,126.98195390000001,7.860380359726303
281,서울특별시 용산구 이촌로 303,37.5185927,126.98084080000001,8.934599476102468
282,서울특별시 용산구 이촌로 300,37.51785879,126.9802115,6.87655492775873
283,서울특별시 용산구 이촌로 264,37.518476299999996,126.9760338,3.1575177405870267
284,서울특별시 용산구 이촌로 248,37.518207700000005,126.9747156,2.6711982838464525
285,서울특별시 용산구 이촌로 201,37.521378399999996,126.9735558,1.3824292537114944
286,서울특별시 용산구 이촌로 193,37.5216674,126.96921440000001,1.5088763109370082
287,서울특별시 용산구 이촌로 181,37.5224073,126.9702362,1.4064930725126241
288,서울특별시 용산구 이촌로 174,37.521198299999995,126.9665209,1.9733117592225604
289,서울특별시 용산구 이촌로 100-8,37.5240081,126.9579794,4.22660563600219
290,서울특별시 용산구 원효로90길 11,37.5401796,126.9699352,1.3740019714112783
291,서울특별시 용산구 원효로 40,37.534082700000006,126.9485824,1.1584048115528256
292,서울특별시 용산구 원효로 216,37.5366333,126.9662337,2.554042174123227
293,서울특별시 용산구 서빙고로51길 68-14,37.523075299999995,126.99175679999999,1.1614919514071995
294,서울특별시 용산구 서빙고로 67,37.5242783,126.97068529999999,1.409185840693428
295,서울특별시 용산구 서빙고로 35,37.5251636,126.9694981,1.6450503225193038
296,서울특별시 용산구 서빙고로 31,37.5261643,126.96988449999999,1.509143545462087
297,서울특별시 용산구 서빙고로 17,37.526092999999996,126.96766299999999,2.110036108420188
298,서울특별시 용산구 새창로8길 7,37.5397888,126.9564008,3.9735044955372443
299,서울특별시 용산구 새창로8길 157,37.5356703,126.94969979999999,3.334061586840414
