,주소,위도,경도,편의점 평균거리
308,서울특별시 용산구 백범로 341,37.5383221,126.967643,118.79385073393173
309,서울특별시 용산구 백범로 313,37.53901892,126.964098,100.88326918084945
310,서울특별시 용산구 백범로 275,37.54031273,126.9596749,86.78197928031258
311,서울특별시 용산구 백범로 260,37.5403072,126.9575243,82.06821368067145
312,서울특별시 용산구 독서당로 46,37.53240086,127.0072591,62.38246246482884
313,서울특별시 용산구 독서당로 111,37.5369784,127.0094956,49.34367270845481
314,서울특별시 용산구 녹사평대로 254,37.5407149,126.9888481,64.93436938846824
315,서울특별시 영등포구 의사당대로 127,37.5202486,126.9263879,104.47270837079088
316,서울특별시 영등포구 의사당대로 110,37.5204822,126.9239858,105.14224807352176
317,서울특별시 영등포구 영중로 154,37.5301096,126.9064223,146.7860816961908
318,서울특별시 영등포구 영중로 145,37.5294615,126.9050948,160.92435677533211
319,서울특별시 영등포구 영신로57길 5,37.5280856,126.9023584,188.06702077896162
320,서울특별시 영등포구 영신로55길 6,37.52721748,126.902504,191.99892590111307
321,서울특별시 영등포구 영신로33길 3,37.519805,126.9003963,222.26621952339747
322,서울특별시 영등포구 영신로 247,37.5299889,126.9027572,162.29144530953914
323,서울특별시 영등포구 영신로 237,37.52864616,126.9032499,177.68098198179715
324,서울특별시 영등포구 영신로 193,37.5254625,126.8997511,202.42667313708378
325,서울특별시 영등포구 영신로 191,37.5244575,126.900447,219.04595649190725
326,서울특별시 영등포구 영신로 183,37.5242149,126.9015338,230.0705484044836
327,서울특별시 영등포구 영등포로64길 11,37.5142647,126.9164533,102.82915810209082
328,서울특별시 영등포구 영등포로62길 42,37.51657277,126.9129531,159.52581857774555
329,서울특별시 영등포구 영등포로3길 9,37.5244017,126.882579,118.80996080617174
330,서울특별시 영등포구 영등포로12길 8,37.5221616,126.8865433,130.05097262017594
331,서울특별시 영등포구 영등포로12길 7,37.5216885,126.8878466,138.25923432396948
332,서울특별시 영등포구 영등포로 351,37.5158124,126.9183651,102.46710993394571
333,서울특별시 영등포구 영등포로 17,37.5237845,126.8835422,123.24475240274391
334,서울특별시 영등포구 영등포로 106,37.5213197,126.8928072,164.84490011974714
335,서울특별시 영등포구 여의동로3길 10,37.5182033,126.925912,94.9491668655746
336,서울특별시 영등포구 여의동로 97,37.5174234,126.927057,93.38208716809159
337,서울특별시 영등포구 여의동로 213,37.5186433,126.9395985,76.24981576922713
338,서울특별시 영등포구 여의동로 143,37.5176189,126.932358,94.0864630901074
339,서울특별시 영등포구 여의대방로9길 5,37.4972694,126.9144293,80.49470043695054
340,서울특별시 영등포구 여의대방로61길 19,37.5143228,126.9238594,89.11068170280961
341,서울특별시 영등포구 여의대방로5길 6,37.4973055,126.9123051,80.01348585111364
342,서울특별시 영등포구 여의대방로43라길 9,37.508155,126.9193471,87.75639399076509
343,서울특별시 영등포구 여의대방로35가길 19,37.5011629,126.9151097,87.6318659821131
344,서울특별시 영등포구 여의대방로 45,37.4963711,126.9112059,78.35701025796608
345,서울특별시 영등포구 여의대방로 25,37.4945833,126.9094978,84.84998430567761
346,서울특별시 영등포구 여의대로6길 17,37.5265231,126.9298286,81.25091699729722
347,서울특별시 영등포구 여의나루로 7,37.520651,126.9207006,112.85872648167245
