,주소,위도,경도,전통시장 평균거리
2112,서울특별시 강서구 강서로 490,37.5690251,126.841903,
2113,서울특별시 강서구 강서로 348,37.555762200000004,126.84146729999999,1.0726753615696516
2114,서울특별시 강서구 강서로 266,37.5488035,126.8404024,5.149965296480482
2115,서울특별시 강북구 한천로159길 8,37.6447964,127.01819259999999,28.870099378348442
2116,서울특별시 강북구 한천로159길 8,37.6447964,127.01819259999999,28.870099378348442
2117,서울특별시 강북구 한천로109길 83,37.62618320000001,127.0393754,1.071717284204358
2118,서울특별시 강북구 한천로109길 69,37.626473,127.0417145,1.25104635454095
2119,서울특별시 강북구 한천로105길 23,37.6247516,127.04727790000001,2.5324921572961956
2120,서울특별시 강북구 인수봉로72길 4,37.6419306,127.01214479999999,8.034958614256471
2121,서울특별시 강북구 인수봉로 18,37.62115670000001,127.0108365,1.4180670985869952
2122,서울특별시 강북구 월계로37길 87-9,37.6259454,127.0433512,1.5128837677833065
2123,서울특별시 강북구 월계로37길 65,37.6248335,127.0446321,2.0227211376065712
2124,서울특별시 강북구 월계로37길 137,37.627460600000006,127.04357749999998,1.2639601611968634
2125,서울특별시 강북구 월계로21가길 41,37.6148297,127.03659070000002,4.753401433250601
2126,서울특별시 강북구 오현로31길 89,37.631538899999995,127.03561499999999,4.852737238599772
2127,서울특별시 강북구 오현로31길 85-7,37.6306127,127.0354275,3.694277918033983
2128,서울특별시 강북구 오현로 56,37.61715924,127.03561359999999,3.9676650243626197
2129,서울특별시 강북구 오현로 45,37.62005449,127.033597,2.4477576191728705
2130,서울특별시 강북구 오현로 207,37.63103710000001,127.03900970000001,3.1847681502172103
2131,서울특별시 강북구 오현로 180,37.62736629999999,127.03885159999999,
2132,서울특별시 강북구 오현로 156,37.62658,127.03751240000001,
2133,서울특별시 강북구 오현로 128,37.6239797,127.0382004,1.0989495512185117
2134,서울특별시 강북구 오패산로30길 30,37.6151287,127.0357365,4.980041325862455
2135,서울특별시 강북구 숭인로7가길 37,37.613682399999995,127.02572830000001,5.121766295600335
2136,서울특별시 강북구 숭인로 39,37.6125334,127.0252696,4.478724222656299
2137,서울특별시 강북구 솔샘로 174,37.6181847,127.0123459,3.5153797360267047
2138,서울특별시 강북구 솔샘로 174,37.6199864,127.0127489,3.5153797360267047
2139,서울특별시 강북구 솔샘로 159,37.619573700000004,127.00882620000002,1.1396483975309841
2140,서울특별시 강북구 삼양로74길 8,37.6287523,127.0191154,11.446283058375807
2141,서울특별시 강북구 삼양로27길 95,37.61758029999999,127.01712579999999,3.0605867556395867
2142,서울특별시 강북구 삼양로27길 19,37.6175436,127.0204597,3.1772047274751776
2143,서울특별시 강북구 삼양로24길 19,37.6170268,127.0221097,4.22458611709798
2144,서울특별시 강북구 삼양로19길 25,37.6134883,127.0212663,3.8032168644463002
2145,서울특별시 강북구 삼양로19길 113,37.615229,127.0181315,4.524521592627064
2146,서울특별시 강북구 삼양로19길 113,37.6172903,127.0185281,4.524521592627064
2147,서울특별시 강북구 삼양로149길 33,37.6554406,127.0111527,1.1024329304328437
2148,서울특별시 강북구 삼양로 658,37.661844200000004,127.01386409999998,
2149,서울특별시 강북구 삼양로 256,37.6260408,127.019477,8.441626386222739
2150,서울특별시 강북구 삼각산로 143-1,37.6419753,127.017972,15.178944182243686
2151,서울특별시 강북구 도봉로98길 33,37.6414469,127.03189850000001,13.022730082700404
2152,서울특별시 강북구 도봉로68길 26,37.6307852,127.0258094,16.750816074874997
2153,서울특별시 강북구 덕릉로41길 12,37.6358401,127.0320254,14.240810235323679
2154,서울특별시 강동구 풍성로65길 34,37.530005200000005,127.14087849999999,2.885298551131577
2155,서울특별시 강동구 풍성로38길 22,37.5311547,127.12458219999999,6.236172784900337
2156,서울특별시 강동구 풍성로37길 55,37.53436,127.1264298,11.952506483204676
2157,서울특별시 강동구 풍성로 196,37.52945,127.1331875,6.443330784210397
2158,서울특별시 강동구 풍성로 114-1,37.5317809,127.1241393,6.430282790254385
2159,서울특별시 강동구 천호옛12길 27,37.535241299999996,127.1265528,12.869258166483842
2160,서울특별시 강동구 천호대로168길 58,37.5332423,127.13092809999999,9.436683137754404
2161,서울특별시 강동구 천호대로168길 25,37.5343691,127.1323906,11.228917433466858
2162,서울특별시 강동구 천호대로 1240,37.535416999999995,127.1482561,1.9418846082197918
2163,서울특별시 강동구 천호대로 1239,37.5380276,127.14983470000001,1.5898685730873972
2164,서울특별시 강동구 천호대로 1231,37.536590999999994,127.1473459,2.4742344753952143
2165,서울특별시 강동구 천호대로 1095,37.53645039999999,127.13464270000001,9.306462098733341
2166,서울특별시 강동구 천호대로 1092,37.535162400000004,127.13275379999999,11.43893996607266
2167,서울특별시 강동구 천호대로 1089,37.53675867,127.13358810000001,10.083954571670118
2168,서울특별시 강동구 천호대로 1077,37.53725648,127.13143149999999,11.997111665487761
2169,서울특별시 강동구 천호대로 1055,37.5381545,127.130007,29.503162265834135
2170,서울특별시 강동구 천호대로 1055,37.5381545,127.130007,29.503162265834135
2171,서울특별시 강동구 천중로49길 58,37.5432755,127.14452990000001,2.8584898164520895
2172,서울특별시 강동구 천중로 264,37.5401404,127.14887809999999,1.5750681723272377
2173,서울특별시 강동구 천중로 253,37.541198,127.148197,2.4549025931136237
2174,서울특별시 강동구 진황도로61길 7,37.5299686,127.1441487,2.433725235628096
2175,서울특별시 강동구 진황도로 47-2,37.5383992,127.13290049999999,11.595359794814648
2176,서울특별시 강동구 진황도로 212,37.5273324,127.1436872,1.3215865168686889
2177,서울특별시 강동구 진황도로 211,37.5272306,127.1452461,1.1181030380351236
2178,서울특별시 강동구 진황도로 12,37.539485799999994,127.12837990000001,18.698653251872376
2179,서울특별시 강동구 올림픽로91길 30,37.5496106,127.1230267,3.6472542423961007
2180,서울특별시 강동구 올림픽로89길 58,37.548337599999996,127.1233659,5.083780591559346
2181,서울특별시 강동구 올림픽로81길 15,37.544372700000004,127.12435220000002,11.048322132990045
2182,서울특별시 강동구 올림픽로70길 61,37.53941807,127.12698789999999,19.112835456058665
2183,서울특별시 강동구 올림픽로104길 42,37.5552111,127.1319403,6.419055454124471
2184,서울특별시 강동구 올림픽로 664,37.54055783,127.1249744,16.055062801110083
2185,서울특별시 강동구 양재대로96길 79,37.529157,127.1417216,2.6694015005638656
2186,서울특별시 강동구 양재대로134길 87,37.54850379999999,127.14884769999999,2.7238565173860665
2187,서울특별시 강동구 양재대로123길 30,37.54377159,127.1401439,3.9160863611639214
2188,서울특별시 강동구 양재대로 1706,37.557937700000004,127.1467882,3.207623147980036
2189,서울특별시 강동구 양재대로 1650,37.55294902,127.14462169999999,4.725593926865259
2190,서울특별시 강동구 양재대로 1557,37.5448169,127.142214,3.7560403795924193
2191,서울특별시 강동구 암사19길 25,37.552076899999996,127.14031820000001,5.956796050154368
2192,서울특별시 강동구 아리수로98길 25,37.5653816,127.17845459999998,
2193,서울특별시 강동구 아리수로97길 68,37.5687308,127.17665459999999,
2194,서울특별시 강동구 아리수로97길 20,37.5678721,127.17826969999999,
2195,서울특별시 강동구 아리수로97길 19,37.56699520000001,127.1767916,
2196,서울특별시 강동구 아리수로94길 72,37.5607222,127.1762695,1.358934254951173
2197,서울특별시 강동구 아리수로94길 19,37.5627329,127.1772605,1.0732075790659352
2198,서울특별시 강동구 아리수로93길 40,37.5655171,127.17510690000002,
2199,서울특별시 강동구 아리수로93가길 70,37.570719,127.1733082,
2200,서울특별시 강동구 아리수로93가길 25,37.5668679,127.1720243,
2201,서울특별시 강동구 아리수로93가길 110,37.572621000000005,127.1731,
2202,서울특별시 강동구 아리수로50길 50,37.55912083,127.15090179999999,
2203,서울특별시 강동구 성안로25길 6,37.538717600000005,127.1352572,9.898767311416494
