,주소,위도,경도,중학교 평균거리
194,서울특별시 은평구 응암로30길 16,37.59521591,126.9194381,1.8588724054671315
195,서울특별시 은평구 응암로30길 15,37.596311,126.92186,3.363657472334192
196,서울특별시 은평구 응암로 366,37.60383,126.92309,1.2742058804715937
197,서울특별시 은평구 응암로 318,37.5992267,126.9222397,2.7896028804469606
198,서울특별시 은평구 은평터널로7길 2,37.5927487,126.9063355,6.58821120007265
199,서울특별시 은평구 은평터널로 66,37.5863961,126.9013422,6.435119670365886
200,서울특별시 은평구 은평터널로 65,37.5868487,126.9000124,5.788757178367001
201,서울특별시 은평구 은평터널로 60,37.5854117,126.9002363,5.529601944546076
202,서울특별시 은평구 은평터널로 164,37.5935228,126.9086256,5.202048181103333
203,서울특별시 은평구 은평터널로 163,37.5935011,126.9062236,6.3978219156910505
204,서울특별시 은평구 은평터널로 121-6,37.5904992,126.904003,8.343652779804328
205,서울특별시 은평구 은평로 240,37.59962,126.934656,2.2800701010025746
206,서울특별시 은평구 은평로 220,37.599269,126.932044,2.591091848591028
207,서울특별시 은평구 연서로48길 12,37.6284338,126.9321409,6.286826821957388
208,서울특별시 은평구 연서로48길 11,37.6312466,126.9308273,5.300109777392831
209,서울특별시 은평구 연서로46길 7,37.63396029,126.9327173,3.53403245448456
210,서울특별시 은평구 연서로44길 7,37.6379708,126.9348048,1.5302572597264323
211,서울특별시 은평구 연서로44길 30,37.6434624,126.9396204,
212,서울특별시 은평구 연서로 487,37.6340464,126.9168896,
213,서울특별시 은평구 연서로 455,37.634766,126.9167365,
214,서울특별시 은평구 연서로 149,37.6122422,126.9168122,6.797470456334541
215,서울특별시 은평구 수색로 300,37.584794,126.891951,1.3395295110344116
216,서울특별시 은평구 수색로 217,37.5792037,126.898834,3.4624539699706265
217,서울특별시 은평구 서오릉로21길 47,37.6121411,126.9063902,7.507222551108914
218,서울특별시 은평구 서오릉로21길 36,37.6129617,126.905638,7.422729295735034
219,서울특별시 은평구 서오릉로 94,37.609112,126.9217449,1.5493111899475738
220,서울특별시 은평구 서오릉로 46,37.6051208,126.9246203,1.1006759066642948
221,서울특별시 은평구 불광로2길 41,37.6166044,126.9267737,2.38960855056436
222,서울특별시 은평구 불광로2길 33,37.6126016,126.937083,
223,서울특별시 은평구 불광로2길 16,37.6121197,126.9350558,
224,서울특별시 은평구 불광로 90,37.6147577,126.9328692,1.0622516727816382
225,서울특별시 은평구 불광로 64,37.6130801,126.9324764,
226,서울특별시 은평구 불광로 170,37.6216983,126.9321696,5.146698888876434
227,서울특별시 은평구 불광로 122-10,37.6181527,126.9357306,1.5503535295013182
228,서울특별시 은평구 북한산로 2,37.6432492,126.9220425,2.913519427764235
229,서울특별시 은평구 백련산로2길 19,37.5895014,126.9242045,10.56058652900705
230,서울특별시 은평구 백련산로2길 19,37.5920025,126.9253163,10.56058652900705
231,서울특별시 은평구 백련산로 67,37.59279985,126.9215014,2.720684800910602
232,서울특별시 은평구 백련산로 6,37.5867673,126.9236175,6.585657803712639
233,서울특별시 은평구 백련산로 38,37.5911513,126.9236217,4.168421528543948
