번호,주소,시군구,경도,위도,소방서 평균거리,초등학교 평균거리,우체국 평균거리,지하철 평균거리,전통시장 평균거리,편의점 평균거리,유치원 평균거리,중학교 평균거리,어린이집 평균거리
95,서울특별시 중구 퇴계로 235,중구,126.9976903,37.5627311,1.626187388,3.083440612,9.419492244,16.42022089,19.33811541,159.8145481,3.498021098,3.100084707,14.91079213
96,서울특별시 중구 퇴계로 217,중구,126.9959355,37.5624272,1.917619923,5.150418587,8.226647846,16.33373439,16.28842621,165.8523009,5.315417814,2.75628868,14.8013463
97,서울특별시 중구 칠패로 27,중구,126.971987,37.559937,,3.811606395,8.216724496,11.8828779,13.0796377,174.4813992,4.453238448,2.417600801,36.96991318
98,서울특별시 중구 청구로1길 23,중구,127.0179323,37.5580944,,26.76093609,11.44164014,22.81572673,4.448981656,262.3935344,23.14317491,18.51778031,164.7065651
99,서울특별시 중구 청구로1길 23,중구,127.0179323,37.5580944,,26.76093609,11.44164014,22.81572673,4.448981656,262.3935344,23.14317491,18.51778031,164.7065651
100,서울특별시 중구 청구로 64,중구,127.0166741,37.5604078,,27.19259725,12.34310824,27.20532424,4.785951521,296.3242343,22.59247263,10.82616013,142.7928075
101,서울특별시 중구 청구로 64,중구,127.0187194,37.5606081,,27.19259725,12.34310824,27.20532424,4.785951521,296.3242343,22.59247263,10.82616013,142.7928075
102,서울특별시 중구 청계천로 400,중구,127.0222215,37.5711004,,15.06453991,10.46142355,23.91721304,30.76355634,338.1755225,14.71525732,2.47003227,129.5489031
103,서울특별시 중구 청계천로 400,중구,127.0222215,37.5711004,,15.06453991,10.46142355,23.91721304,30.76355634,338.1755225,14.71525732,2.47003227,129.5489031
104,서울특별시 중구 중림로4길 41,중구,126.9643574,37.5573531,,8.271607344,5.85776811,10.19935463,2.725183564,131.7332407,4.06426659,6.759166903,56.07305332
105,서울특별시 중구 중림로 10,중구,126.9653021,37.5581126,,7.963551672,6.248664516,10.43757025,3.42357819,137.7409091,4.064807232,7.234248997,50.86881181
